,title,pubDate,description,link
143,Smishing: The new scam fleecing Aussie victims of thousands,2021-05-12 00:00:00.000000,"Australians are being inundated by a new form of scam whereby victims are sent text messages asking for them to share personal details which are then on-sold./nKnown as ""smishing"" – or sms phishing – the scam involves cyber criminals impersonating legitimate organisations such as banks or delivery companies and request mobile phone users to click a link./nFigures from the ACCC's Scamwatch show that in just one month smishing scams have increased by more than 20 per cent, leading experts to worry that incidences of identity theft are about to spike./nREAD MORE:/n/nAussies warned of spike in online rental property scams/n""The latest figures from the ACCC are consistent with a wider global trend that text messages are becoming one of the most preferred ways for cybercriminals to target victims,"" Crispin Kerr, ANZ area vice-president of cybersecurity agency Proofpoint, said./n""These types of attacks are commonly referred to as 'smishing'./n""In smishing texts, scammers will often use fake branding of an organisation such as a company logo, combined with a sense of urgency and usually some form of request for the target to click on a malicious link contained within the text.""/nREAD MORE:/n/nHackers behind Queensland hospital cyberattack identified/nMr Kerr said the difficulty of containing SMS scams is that Australians are more likely to trust a link in a text message than they would in an email./n""With virtually all Australian adults owning a mobile phone, this makes this channel of communication ideal for cybercriminals to steal personal information and commit further crimes like identity fraud,"" Mr Kerr said./n""Many businesses are also using mobile messaging more to communicate with their consumers who are more trusting of text messages than email for example, and therefore more likely to click on malicious links within texts.""/nFigures from the ACCC show that Australians lost more than half a million dollars to unexpected prize and lottery scams, the highest amount recorded in more than 12 months./nIn sheer dollar terms, investment scams are the most damaging with Australians fleeced an eye-watering $8 million in one month alone./nREAD MORE:/n/nAustralians targeted by fake myGov email scam/nMr Kerr said any Australians worried about becoming the victim of a scam should be suspicious of communications that sound too good to be true./n""Australians should continue to exercise caution,"" Mr Kerr recommends./n""The best thing to do if you think you may have been contacted by a scammer is to refrain from clicking on any links and report the scam to the ACCC's Scamwatch service immediately. Only communicate with an organisation through official channels that are typically listed on their company website and never give out your personal information to an unsolicited source./n""By knowing these simple safe practices and what to look out for, you can help to prevent financial losses for yourself, your business and loved ones.""",https://www.9news.com.au/technology/what-is-smishing-the-new-scam-fleecing-australians-of-hundreds-of-thousands/553671fc-5067-4094-9252-b1bf6919cec8
144,New details and gameplay for upcoming PS5 game Deathloop,2021-05-12 00:00:00.000000,"PlayStation's exclusive line-up is kicking goals this year and it's only May. With E3 just around the corner, it's clear we're only scratching the surface for next-gen gaming./nCome September, Arkane Studio's and Bethesda's latest title - a Groundhog Day meets James Bond adventure - is expected to add to the list./n9News was given a behind the scenes look at Deathloop, sitting down with Arkane Studios (Dishonored, Prey) developers to see the game in action and ask some burning questions./nREAD MORE:/n/nNew gaming controller brings back classic look/n""The story campaign is an investigation, we like to call it an inverted murder puzzle about finding out how to kill the eight visionaries responsible for the time loop before the end of the day,"" game director Dinga Bakaba said./nAs you may expect from the title of the game, Deathloop is violent./nBut what it showcases in violence it seemingly balances with puzzles and strategy, the developers, telling 9News there's plenty more to discover./n""The player will have to explore the world to find what makes them tick, and create loopholes in their schedules, in order to line them up for the perfect assassination,"" said Mr Bakaba./n""This is the only way to break the cycle of violence and madness on the island.""/nDescribed as an action-adventure/first first shooter, Deathloop does bring in some elements from the roguelike genre./nA roguelike game traditionally revolves around the player dying to progress further./nBut developers hit back when asked if the game was a roguelike, telling 9News they wouldn't put Deathloop in that category and it differentiates itself greatly from the genre./n""The world of Deathloop is something we've crafted every single inch of,"" Mr Bakaba told 9News./n""That's not to say games like Returnal or Hades aren't lovingly crafted - but you see what I mean.""/n""Our vision of a time loop is the world remains the same, only the protagonist and his knowledge remain the same,"" Mr Bakaba said./n""Players who like roguelikes will find some elements that are familiar to them, but I'd definitely not encourage them to approach it like a roguelike.""/nREAD MORE:/n/n'I was afraid of playing video games because I was a girl'/nDeathloop can be played entirely as a single player game, but there's an option to enable online multiplayer which will see a second assassin enter the loop./nThe secondary assassin, aka Julianna Blake, can be played by another player online or can be set as an AI./n""She's the most tricky of all the visionaries, she's the strongest, she's the smartest,"" said Mr Bakaba./n""We wanted the encounters to feel special. That's why we added this mode that allows you to play as her.""/n""And no, she's not invincible, quite the contrary. She's actually at a disadvantage compared to you.""/nThe DualSense controller, one of the biggest selling points for the PS5, is configured to react with haptics depending on your weapon of choice and environment./n""We made sure each (weapon) has a different kick, playing with how far the trigger effect is, the resistance.""/n""The weapons are part of the focus, giving them lots of personality.""/nREAD MORE:/n/nAustralian video game industry's billion dollar potential/nThe game will also allow you to feel different types of surfaces through the controller, as well as feeling interactions - such as jumping./n""All of these things we tried to give some kind of way, some kind of feedback (through the controller).""/nSet in the 1960s, Deathloop's retro modern style and feel is stunning./nIt's James Bond-esque setting is inspiring and there'd be some great opportunities to snap a photo./nA photo mode would be great, right? Well, it looks like we'll have to wait for that one (if at all)./n""We would love to be able to do that. It's not a promise of anything, but it's something I would love to be able to do,"" Mr Bakaba told 9News./nDeathloop is scheduled to release later this year on September 14 and will be exclusive to the PlayStation 5.",https://www.9news.com.au/technology/deathloop-playstation-game-arkane-studio-e3-ps5-gameplay-video/e3bf7d4f-67d0-465e-92ed-e8a7fcbc4fbc
145,Twitter ditches 'biased' image-cropping algorithm,2021-05-12 00:00:00.000000,"Twitter/nhas largely abandoned an image-cropping algorithm after determining the automated system was biased. Some users complained it had a preference toward showing pictures of white people in previews of tweets./nIn a blog post today, Rumman Chowdhury, a software engineering director for Twitter's machine learning ethics, transparency and accountability team, wrote that the company concluded the algorithm was biased after testing it for gender- and race-based biases./nThe post and an accompanying research paper detail how the cropping system, when tested on randomly linked images of people of various races and genders, favoured White people over Black people and women over men, for instance./nREAD MORE:/nTwitter's blue tick system about to relaunch, researcher claims/nLIVE UPDATES:/n/nAll the latest breaking news in Australia and around the world/nTwitter's conclusion comes months after the company said it would look into the algorithm, and serves as yet another example of how bias can creep into computer systems that are meant to perform tasks that humans are often uniquely good at doing./n""We considered the tradeoffs between the speed and consistency of automated cropping with the potential risks we saw in this research,"" Mr Chowdhury wrote./n""One of our conclusions is that not everything on Twitter is a good candidate for an algorithm, and in this case, how to crop an image is a decision best made by people.""/nIn March, Twitter started testing a new way to show a full image — rather than an automatically cropped preview version — on mobile devices when a user tweeted a single image./nThe company said that, following positive feedback, it rolled out the feature to all its iOS and Android users in May. (It center-crops images that are extremely long or wide, however)./nA Twitter spokesperson told CNN Business that the change came to Twitter's mobile app first since that's how most people tweet and look at images./nWhen the image-cropping algorithm was in place, any time a user posted an image to Twitter, the automated system would crop a preview version of that image that viewers would see before clicking through to the full-size image./nTwitter said in a blog post in 2018 that it previously used face detection to help figure out how to crop images for previews./nREAD MORE:/n2021 iPad Pro review: How Apple is changing video calling/nHowever, the face-detecting software was prone to errors. The company scrapped that approach and instead had its software home in on what's known as ""saliency"" in pictures, or the area considered most interesting to a person looking at the overall image./nSaliency is studied by tracking what people look at; we tend to be interested in things like people, animals, and text, for instance./nLast September the company was prompted to study its algorithmic approach to cropping images after numerous tweets criticized it. These included one from Twitter user @bascule, who on September 19 tweeted, ""Trying a horrible experiment... Which will the Twitter algorithm pick: Mitch McConnell or Barack Obama?"" Along with his words were two long, rectangular images./nThe first consisted of a picture of US Senate majority leader McConnell on the top, who is White, with a slender white rectangle in the middle, and a picture of former US President Obama, who is Black, at the bottom. The second featured the opposite, with Obama at the top and McConnell at the bottom. With Twitter's image-cropping algorithm in use, preview versions of the images, which are side by side, show just Mr McConnell./nA day earlier, another Twitter user, @colinmadland, noticed a similar preview result when he posted a picture that he said showed himself, a White man, next to a picture of a Black man with whom he attended an online meeting; Twitter's preview defaulted to showing just the White man./nIn a response to @bascule at the time, the company tweeted that it didn't see evidence of racial or gender bias during testing before releasing the preview feature, but said it would look into whether there were issues with the cropping algorithm./nREAD MORE:/n/nDonald Trump launches his own blog in the wake of Twitter ban/nIn Twitter's blog post, Mr Chowdhury wrote that the move away from using an algorithm to crop images lowers the company's dependency on machine learning (an artificial intelligence technique where a computer teaches itself by poring over data) ""for a function that we agree is best performed by people using our products.""/nThe Twitter spokesperson said the company plans to dump the image-cropping algorithm on the Twitter.com website in the next few months./nThe algorithm is also used in a couple other ways, such as when a person tweets multiple images; the spokesperson said Twitter is working on improvements for those uses, too.",https://www.9news.com.au/technology/twitter-abandons-automated-image-cropping-algorithm-calling-it-biased/490fae9e-7a87-478d-ba21-9a5abe3dfc72
146,2021 Apple iPad Pro review: Laptop performance and video calls on Centre Stage,2021-07-12 00:00:00.000000,"Video calls are going to look very different for those people using the new Apple iPad Pro, with a feature called ""Centre Stage"" set to make it look like you've got your very own camera operator no matter where you're calling from./nThe idea is that the iPad's smarts analyse the video and essentially zoom and pan around the wider fixed image to give the impression of movement from a device that is sitting still./nThis might not mean much, but for people doing any form of demonstration or hosting video calls while doing other things, it's a winner. It's the key software feature of the iPad Pro for 2021./nREAD MORE:/n/nApple's new iMacs - the ultimate family computer/nHowever, it's far from the only new feature. 5G connectivity comes to the iPad Pro after launching in Apple's lineup with the iPhone 12 late last year. Frankly, that alone could have warranted a model upgrade, but instead it's one of many new features./nThe USB-C port is now Thunderbolt-enabled. That allowed me to do a fast data transfer of video files, which then sat comfortably on the massive 2TB storage (an option if you're prepared to pay for it). Though with Thunderbolt connectivity, you could edit files and video off an external drive without needing the storage on-device./nThe design is the same, though the Magic Keyboard accessory now comes in white, which looks amazing — but ask me again in a few months and we'll see how clean it is./nA stunning screen, which Apple is calling a Liquid Retina XDR display, is the standout visual feature. This mini-LED backlit screen is producing a 1000-nit full brightness, peaking at 1600, and has an outstanding million-to-one contrast ratio. The blacks are black, the colours are bright. It's exceptional./nIn some ways, it's too much for the average set of eyes to appreciate./nThe processor is much the same. The utterly bonkers decision by Apple to put their M1 processor into the iPad makes this one of, if not the most powerful tablet you can buy./nThat's laptop performance. It's the same processor powering the MacBook Pro. Not unprecedented — Microsoft puts Intel Core processors in its Surface Laptops and Surface Pro Tablet — but this is a big deal for Apple./nApps launch in an instant, performance is snappy and when you lay down 4K video in an edit timeline it's like being on a desktop or pro laptop./nHowever, imagine if it ran MacOS, or a touch-enabled version of the same. Imagine if iPadOS wasn't an enhanced version of iOS but a tablet-enabled version of MacOS. Perhaps it's just me, but it seems utterly logical./nThe 2021 Apple iPad Pro goes on sale on Friday, starting at $1199 for the 11-inch model with WiFi only and 128GB of storage./nAdd in all the beans and you can pay $3549 for the 12.9-inch with 2TB of storage and 5G connectivity. Worth it, if you're a creative pro working in design, videography or photography for sure./nOtherwise, the bog-standard iPad is still a pretty amazing device that does most of what most people need for just $499. Remember that before you go crazy with your cash.",https://www.9news.com.au/technology/apple-ipad-pro-review-australia-centre-stage-m1-chip-performance/c667e322-5208-48a3-b744-1ceb515d8907
147,First review: Apple's new iMacs - the ultimate family computer,2021-05-12 00:00:00.000000,"Four weeks ago when/nApple held their first product announcement event of 2021/none of the most unexpected announcements was a range of new iMac computers. Available in seven colours, featuring Apple's own M1 Processor, it looked like it would tick all the boxes. With a week of usage under my belt, I can tell you - it does./nNormally we'd say ""/nout of the box/n"" and give an impression. The new iMac impresses you in the box./nEnvironmentally focused, there's no big chunky Styrofoam holding this all together, instead the cardboard mechanics allowing the box to hinge apart to expose your new iMac./nREAD MORE:/nHow to tell if your smartphone is spying on you/nThen, you pick it up and it's lightweight like no other all-in-one PC. And once you rip off all the protective layers, it's beautiful./nSeven colours is a lot of options. The Green I'm using is a unique green, and I expect that's the same for all the colours. There is guaranteed to be an iMac to suit your home or office./nGreat for Families/nAnd that's the thing about this computer, it is equally suited to home or work, but I really believe this is the ultimate family computer for a family who have just the one computer, but multiple users./nEnter TouchID - something first present on the iPhone, now on iPads and MacBooks - and finally the Apple keyboard contains a TouchID sensor allowing fast login, or fast approval of your ApplePay purchase./nCritically the TouchID is also a link to your own computer account. Each member of the family can register their fingerprint, and by scanning your finger, you're asking the iMac to switch to your login./nThat very feature has changed things massively for my kids as they jump in one after the other to do their homework or typing practice./nMade for the work-from-home era/nThere's one feature on the new iMac that is surprisingly unique - a Full HD web camera. The front-facing camera on the iMac is now 1080p and that means better quality Zoom calls in an era when that's absolutely a priority./nIt's unique because it's actually quite rare still today, despite 1080 being a video format for many years, and video conferencing being hardly new, that resolution is normally reserved only for external web cameras./nPlus, the microphone array and speaker system are excellent too. Three microphones and six speakers mean the quality of both your video conferences and your everyday listening will be a class above./nApple's own Silicon/nI think the idea of Apple Silicon is lost on most, but in simple terms, there ain't no ""Intel Inside"" - instead Apple has built it's own M1 processor which now sits inside it's newest MacBooks, this iMac and the upcoming iPad Pro./nI found the performance of the M1 in day-to-day use to be outstanding. Apps launch almost instantly, the iMac powers on fast, and you never really feel yourself waiting or being left wanting./nFor 99 per cent of home users there will be no compatibility issues with the software you run. Personally, I'm still waiting for the full Adobe Suite to get upgraded to M1 compatibility but I think that's a rarity in the family home or small office scenario./nTypical Apple: You're going to need more/nWe've already got a dongle hanging down the back of the iMac to act as an SD Card reader. The iMac features 4 USB-C connectors, two of them are USB-3 and two of them are Thunderbolt. On the entry level iMac it's just two Thunderbolt connections./nThat means you're going to need a Dongle for your standard (rectangular) USB-A plugs, and for your SD cards. Ethernet isn't missing, it's actually connected via the Power brick which is a stroke of genius./nHow much is the new Apple iMac/nThe standard iMac 24 inch is $1,899, it does not feature TouchID on the keyboard, and has a 7 core GPU./nPrice it up, and you get an 8 Core GPU, the full 4 USB-C connections and Touch ID for $2,199 - double the storage to 512GB for $2,499.",https://www.9news.com.au/technology/apple-imac-review-2021/5a388e4c-e9d7-4bc8-9915-c338b9475ad2
148,"Twitter's blue tick system about to relaunch, researcher claims",2021-05-12 00:00:00.000000,"After a near four-year hiatus,/nTwitter/nis set to relaunch its blue tick verification system this week, according to a researcher citing multiple sources inside the tech giant./nIf correct, Twitter users will be able to apply for a blue tick for the first time since 2017./n""I was told by multiple sources that Twitter plans to launch the new self-served Verification Request form next week,"" app researcher Jane Manchun Wong tweeted on Friday./nREAD MORE:/n/nThe first-ever tweet sold as an NFT for $3.8 million/nScreenshots published by Ms Wong showed the kind of information an unverified user would need to file for a blue tick, including confirmation of photo identification, account qualifications and news coverage that they have received./nSince 2009, Twitter's blue ticks have been given to genuine notable account holders, such as/ncelebrities/n, politicians, companies, organisations and/nmedia/n./nIn 2017 Twitter rolled out a system where users could put themselves forward for a blue tick. However the tech company ceased the initiative later that year./nREAD MORE:/n/nDeepfake nudes change face of cyber threats, revenge porn and scams/nIn December Twitter posted on its blog that it planned to bring back the public verification program in 2021./nTwitter did not wish to comment when contacted by nine.com.au./n'Twitter Blue'/nMs Wong has also tweeted what appeared to be screenshots of a premium subscription service called ""Twitter Blue.""/nAccording to Ms Wong, premium Twitter Blue would cost users US $2.99 (AUD $3.84) a month./nThere were few details about Twitter Blue, but she indicated one functionality being mooted was to ""undo"" tweets, something users are not currently able to do./nTwitter CEO Jack Dorsey last year said the company was looking into a subscription model./nIt is estimated Twitter has over 300 million monthly active users./nREAD MORE:/n/nHow to tell if your smartphone is spying on you/nContact:/n/nmsaunoko@nine.com.au/nFOLLOW:/n/nMark Saunokonoko on Twitter",https://www.9news.com.au/technology/twitter-blue-tick-system-on-way-back/c554cb8b-c09f-4247-840a-edbc91bb16fc
149,Ethereum co-founder donates US$1billion of shiba inu coin to India Covid relief,2021-05-12 00:00:00.000000,"Ethereum co-founder Vitalik Buterin has donated $1billion worth of shiba inu coin — a/ndogecoin spinoff/n— to a Covid-19 relief fund in India./nThe 27-year-old Russian-Canadian programmer transferred more than 50 trillion shiba inu coins  to the India Covid-Crypto Relief Fund, according to/nhis public wallet/n. He also transferred 500 ether (or about US$1.9 million) to the relief fund./nAt the time of the transfer, the shiba coin was valued at $1 billion, but cryptocurrencies are notoriously volatile. Its value plunged after Buterin's donation and was off about 30 per cent today,/naccording to Coinbase/n./nShiba coin is a joke that plays off of the popular Elon Musk-touted dogecoin, itself a parody that has gone mainstream in recent months. It's just one of the many alternative cryptocurrencies that have popped up and exploded in popularity on the heels of bitcoin and ethereum./nThe shiba inu coins that Buterin donated to the relief fund were initially gifted to him and sent to his public wallet by the coin's founders,/naccording to Coindesk/n./nButerin, who was just 19 when he created ethereum in 2013, was a billionaire as of May 4 when the digital currency hit US$3500. Ether was on a tear, and hit a new record of $4385 earlier this week. One ether coin is now worth around US$3700.",https://www.9news.com.au/technology/ethereum-cofounder-donates-1-billion-of-shiba-inu-coin-to-india-covid-relief/762c526e-5322-4aa8-aef3-7c58dd35553e
150,How WhatsApp will force you to accept new privacy terms on May 15,2021-05-12 00:00:00.000000,"Australian WhatsApp users will slowly be frozen out of the popular messaging app if they do not accept new terms and conditions before May 15./nWhatsApp has detailed how users who refuse the new terms will incrementally lose key functionalities over ""a period of several weeks"", effectively rendering it useless./nThe changes to WhatsApp, with a reported global user base of 2 billion people, will allow greater sharing of information with parent company Facebook./nREAD MORE:/n/nInstagram for kids under 13 'stepping stone to get children hooked/n'/nThere was immediate backlash in January when news broke of the looming shift in privacy, despite WhatsApp maintaining neither it nor Facebook will be able to see the content of messages or calls, but that the data would be used for commerce features and ads./nAs some users departed for rival messaging platforms, such as Signal and Telegram, WhatsApp paused the rollout./nNow, in a post to its/nwebsite/n, WhatsApp has detailed what will happen to users who fail to click ""agree"" on the updated terms which come into effect on May 15./nThe post states that ""No one will have their accounts deleted or lose functionality of WhatsApp"" but it lays out the ways the app will lose functionality./nUsers will encounter a ""reminder"" that will ""eventually become persistent""./nPeople will have ""limited functionality"" until they accept the update./nAvoiding agreement of terms will increase the severity of functionality lost./n""You won't be able to access your chat list, but you can still answer incoming phone and video calls,"" the statement said./n""If you have notifications enabled, you can tap on them to read or respond to a message or call back a missed phone or video call./nThen, after a few weeks of limited functionality, ""you won't be able to receive incoming calls or notifications and WhatsApp will stop sending messages and calls to your phone.""/nREAD MORE:/n/nDeepfake nudes change face of cyber threats, revenge porn and scams/nWhatsApp said it will not delete user accounts specifically for not signing up to its new terms./nHowever, accounts that are inactive for 120 days will be axed./nFacebook wants you to read articles before sharing/nIn other/nFacebook/nnews, the social media giant is testing a new system which prompts users to read articles before sharing them with their friends./nThe system, similar to a Twitter strategy deployed over the past six months, encourages people to read and understand the facts of a story beyond the headline./nWhen trying to share an article, some of Facebook's 2.6 billion monthly active users will notice a prompt which reads: ""You are about to share an article without opening it. Sharing articles without reading them may mean missing key facts.""/nFacebook users can still share the unread article, but they will be presented with a clickable button which opens the linked article.",https://www.9news.com.au/technology/whatsapp-messenger-app-will-freeze-users-out-if-do-not-accept-new-may-15-terms-conditions/1b76f849-7c63-4e4c-9892-24d0bab602f8
151,Giant spider crawls all over 34m space antenna in Canberra,2021-07-12 22:18:13.529040,"Canberra's Deep Space Communications Complex is one of the world's most powerful means of looking into the depths of the Solar System./nSo it would make sense that an/nalien spider the size of a football field/nwould target it in its initial invasion of planet Earth./nThat's not what happened, but that's what it looked like for a brief moment./nREAD MORE:/nGrowing number of Asian countries ravaged by coronavirus/nA security camera fixed on the giant antenna at Tidbinbilla had an unwelcome pedestrian atop it./nA huntsman crawled over the lens, making it seem like it was dwarfing the 34-metre wide deep space antenna./n""When mission scientists decided to put images from Mars on the World Wide Web, we don't think this is what they had in mind,"" the Canberra Deep Space Network tweeted./nThe Canberra facility is part of NASA's Deep Space Network, but operated by the CSIRO./nREAD MORE:/nNSW warned of funnel-web spider 'plague'",https://www.9news.com.au/technology/giant-spider-huntsman-security-camera-lens-canberra-deep-space-communications-complex-nasa-tidbinbilla/57847fc0-13a3-483e-a053-272d3d5e1011
152,Australians targeted by fake myGov email phishing scam,2021-05-12 00:00:00.000000,"Australians are being warned of a new email scam in which hackers pose as myGov employees and then proceed to steal the bank details of unsuspecting victims./nThe scam, which is conducted over email, impersonates an official communications message from myGov that asks a user to verify their identity and provide their financial details./nThe email contains screenshots from the legitimate myGovID app, and pretend to direct users to a ""secure form"" to fill out their details./nREAD MORE:/n/nElderly woman loses $41 million in phone scam/nATO Assistant Commissioner Ben Foster said this new phishing scam contains classic warning signs that it is not legitimate such as spelling errors./n""The ATO and myGov does send emails and SMS messages, however will never send you an email or SMS with a hyperlink directing you to a login page for our online services,"" Mr Foster said./n""In the lead up to tax time, we expect to see more of these malicious attempts to harvest identity details./n""So we encourage everyone to be on alert and take the time to remind family and friends to be on the lookout and stay safe online.""/nREAD MORE:/n/nDeepfake nudes change the face of cyber threats/nHank Jongen from Services Australia said people who have received the email should only act if they have provided secure details about themselves./n""If you've opened an email that looks suspicious, don't click any links, open any attachments or reply to it,"" Mr Jongen said./n""If you've received the suspicious email and provided your myGov sign in information you should take immediate action./n""Change your myGov password and if you've provided your banking details, contact your bank.""/nIf users are still concerned they can contact Services Australia's Scams and Identity Theft Helpdesk on 1800 941 126. The Helpdesk is open Monday to Friday from 8am to 5pm.",https://www.9news.com.au/technology/mygov-phishing-scam-explained-how-to-avoid-being-hacked/948ac041-ee76-4bc4-bddc-5877627b4c4f
153,Disney to unveil real-life Star Wars 'lightsaber',2021-05-12 00:00:00.000000,"It's a childhood dream come true./nDisney has somehow managed to create a realistic lightsaber that can extend and retract at the press of a button./nBut don't get too excited - there's a chance it may never hit shelves./nThey've been tight-lipped, but in an investor call a few months back Disney let loose their plans to create the dream./nREAD MORE:/n/nEngineer creates world's first retractable 'Star Wars' lightsaber/nSince then blueprints have been unveiled, and some have even gone to great lengths to create 3D renders of how it would work./nBut we don't need to wait any longer./nIn a teaser video published earlier this week, Disney Parks shared a 13-second video that shows the prototype lightsaber in action./nBefore you get your wallet out, only guests who stay at Disney's upcoming Star Wars resort in Florida will be the first to see it in action./nThe upcoming, ""all-immersive"" Star Wars resort, Star Wars: Galactic Starcruiser, is still under construction and we're yet to see any physical interior of the ship. But we know it's going to be packed with activities for people of all ages./nREAD MORE:/n/nHow to catch a glimpse of Baby Yoda from Earth/nGalactic Starcruiser will offer a two-night stay ""aboard"" a Star Wars spaceship which sends you at lightspeed (virtually) into space./nAnd while it may seem that they're essentially locking you in a big simulation building for two days, that doesn't mean it's any less exciting./nIn a blog, Disney Parks says guests will have the opportunity to train in the ways of the lightsaber./n""Watching that lightsaber activate right before your eyes will be just one of the countless ways that, from the moment you arrive to the moment you depart, you'll be plunged into a Star Wars story,"" the post read./nREAD MORE:/n/nDisney confirms new Star Wars series, The Book of Boba Fett/nAnd while we haven't seen the new lightsaber retract just yet, we presume this is coming when Disney is ready to unveil their multi-million-dollar attraction./nThe lightsaber has been created by Walt Disney's Imagineering Research and Development team at Disney Parks./nIt's true, we have other types of toy lightsabers available to buy. But this is the first of its kind. No plastic insertable blades, no violent flick of the wrist, no push down spring release./nThis is the real deal./nThere's no price point, we don't know how big it is and we don't actually know how readily available it'll be (or if it'll even be available for sale) - but this doesn't mean every Star Wars fan in the galaxy isn't excited./nBut how does the lightsaber work exactly?/nThe patented design for the lightsaber is/npublicly available online/n. It explains in great detail how it operates and the materials required./nThe concept has been compared to placing two builder's measuring tapes together, the tapes slightly wrap around each other, with another retractable spool of LEDs in the centre./nThe patent reads, ""The device includes two long plastic semi-cylinders, and these two blade body members are rolled perpendicular to their length, which creates compact cylinders of material of small volume that can be provided on a pair of spools in a hilt./n""To extend the blade, a motor provided in the hilt unrolls the blade body members from the spools.""/nThe below 3D render by Ben Ridout illustrates the lightsaber's function in layman's terms./nIt's not clear if we'll see anything else regarding the lightsaber any time soon./nWe'll just have to wait for it to be unveiled at Walt Disney World next year.",https://www.9news.com.au/technology/disney-realistic-lightsaber-announced-release-date-how-it-works/d59a9f69-af69-4da3-b530-bc4ebad45cda
154,Aussie retailers pull AirTag from shelves two weeks after release,2021-06-28 22:52:19.988733,"Despite coming out just two weeks ago,/nApple's/nlatest product has been pulled from Australian shelves./nBig retailers Officeworks and JB Hifi have removed the AirTag tracking device from stores after concerns were raised about button batteries./nThe AirTag is a small device, about the size of a 20-cent coin, used to track down lost items via Bluetooth./nREAD MORE:/n/nPutting Apple's new AirTags to the test/nThe AirTag is small enough to attach to your keys or bag./nIn a statement to 9News, Officeworks said they would not be stocking the product/n""/nuntil further guidance is provided from the Australian Competition and Consumer Commission""./nOfficeworks said they were continuing to work with Apple to address any safety concerns./nJB Hifi has also removed the product from stores and online, a warning posted on their online listing./nREAD MORE:/n/nNew gaming controller brings back classic look/nYou can still buy the Apple AirTag online and in-store directly through Apple./nThe company says its product is/n""/ndesigned to meet international child safety standards, including those in Australia/n""./n/nApple says that by requiring a two-step push-and-turn mechanism to access the battery they are following the regulations./nApple has told 9News it is following regulations closely and is/n""/nworking to ensure that our products will meet or exceed new standards, including those for package labelling, well ahead of the timeline required""./n9News understands Apple is working to update the AirTag packaging ahead of Australia's Information Standard compliance changes scheduled for June next year./nThe ACCC said they were ""urgently engaging"" Apple regarding the button battery concerns./nThere is currently no word as to whether the product will be officially recalled by Apple.",https://www.9news.com.au/technology/apple-airtag-pulled-from-shelves-jb-hifi-officeworks/720e9c52-674a-423b-b7dd-9a1ff08f095c
